OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),Outlier,TotalGHGEmissions
807,2015,NonResidential,Large Office,645 Elliott - North Building,98119,7,Magnolia / Queen Anne,47.62566459,-122.3680201,2008,1.0,4.0,242686,100176,142510,Office,149081.0,Parking,76364.0,,,72.0,9207485.0,,64.19
809,2015,NonResidential,Small- and Mid-Sized Office,Washington Shoe Building,98104,2,Downtown,47.59894805,-122.332488,1900,1.0,6.0,95760,15840,79920,Office,95760.0,,,,,81.0,5530880.0,,73.77
811,2015,NonResidential,Warehouse,City Commerce Park,98134,2,Greater Duwamish,47.56732628,-122.3352433,1946,1.0,1.0,179413,0,179413,Non-Refrigerated Warehouse,178087.0,,,,,79.0,2290681.0,,15.97
812,2015,NonResidential,Warehouse,Seattle Pottery,98134,2,Greater Duwamish,47.57488421,-122.3376277,1917,1.0,1.0,65288,0,65288,Non-Refrigerated Warehouse,60000.0,Other - Services,5000.0,Retail Store,5000.0,,629036.0,,4.39
813,2015,NonResidential,Warehouse,Puget Sound -Terminal 7 B,98106,1,Delridge,47.57260151,-122.3577988,1966,1.0,1.0,170632,0,170632,Non-Refrigerated Warehouse,164806.0,Office,5826.0,,,97.0,666392.0,,4.65
814,2015,NonResidential,Large Office,West Lake Union Center- 1501 Westlake,98109,7,Magnolia / Queen Anne,47.63266558,-122.3416858,1994,1.0,10.0,381511,0,381511,Office,220033.0,Parking,168978.0,,,85.0,11813861.0,,105.41
815,2015,NonResidential,Large Office,Fifth & Yesler Bldg.,98104,3,Downtown,47.60241047,-122.32732941,2009,1.0,17.0,413264,138098,275166,Office,299055.0,Parking,91220.0,,,91.0,13158205.0,,91.73
817,2015,NonResidential,Mixed Use Property,Russell Hall,98105,4,Northeast,47.65836686,-122.31287375,2009,1.0,6.0,122400,54300,68100,Office,41624.0,Parking,33399.0,Multifamily Housing,20740.0,52.0,5415438.0,,87.07
819,2015,NonResidential,Retail Store,University Village Shopping Center Bldg D,98105,4,Northeast,47.66375728,-122.3002168,1956,1.0,2.0,93803,0,93803,Retail Store,85572.0,Restaurant,2950.0,Other,2500.0,,6211441.0,,115.48
820,2015,SPS-District K-12,K-12 School,Gatzert Elementary School (Sps-District),98122,3,Central,47.6016549,-122.31538028,1988,1.0,1.0,52924,0,52924,K-12 School,52924.0,,,,,81.0,1907697.0,,13.3
822,2015,NonResidential,Warehouse,98 Norfolk,98118,2,Greater Duwamish,47.51184247,-122.28179733,1978,1.0,1.0,60448,0,60448,Non-Refrigerated Warehouse,52702.0,Office,7746.0,,,93.0,888308.0,,21.24
829,2015,NonResidential,Large Office,Nw Work Lofts,98119,7,Magnolia / Queen Anne,47.61906313,-122.3586461,1928,1.0,4.0,215946,0,215946,Office,153044.0,Non-Refrigerated Warehouse,43463.0,Other - Recreation,19439.0,84.0,10752843.0,,364.64
830,2015,NonResidential,Mixed Use Property,Childhaven,98122,3,East,47.60453796,-122.32032776,2004,1.0,4.0,77412,21612,55800,Other,26400.0,Office,19200.0,Parking,17000.0,,2807583.0,,21.75
831,2015,NonResidential,Medical Office,600 Broadway Med Center,98122,3,East,47.60778771,-122.3201541,1990,1.0,5.0,289419,159157,130262,Medical Office,146150.0,Parking,139000.0,,,67.0,11792141.0,,139.21
832,2015,NonResidential,Small- and Mid-Sized Office,Delta Dental Building,98115,5,North,47.69943689,-122.3237873,1987,1.0,5.0,90266,0,90266,,,,,,,42.0,7615756.0,,53.09
837,2015,NonResidential,Warehouse,Peoples Mini-Storage,98107,6,Ballard,47.65803253,-122.364501,2004,1.0,4.0,87332,6458,80874,Non-Refrigerated Warehouse,87332.0,,,,,84.0,1189402.0,,13.55
838,2015,NonResidential,Medical Office,Northwest Medical Center,98122,3,East,47.61142131,-122.3213375,1928,1.0,3.0,83448,15479,67969,Medical Office,42527.0,Office,27961.0,Other,529.0,54.0,6668456.0,,231.39
839,2015,NonResidential,Hotel,Silver Cloud Inn - Broadway,98122,3,East,47.61180149,-122.3202724,2003,1.0,6.0,150545,50017,100528,Hotel,100528.0,Parking,50017.0,,,26.0,13720714.0,,464.77
841,2015,NonResidential,Other,Experience Music Project (Emp) & Sci-Fi Museum,98109,7,Magnolia / Queen Anne,47.62149019,-122.3482175,1999,1.0,5.0,141718,0,141718,Other - Entertainment/Public Assembly,134197.0,Restaurant,5803.0,,,,19490284.0,,353.49
843,2015,NonResidential,Hotel,The Maxwell Hotel - Seattle,98109,7,Magnolia / Queen Anne,47.62569046,-122.35056305,2008,1.0,5.0,111856,21273,90583,Hotel,111994.0,Restaurant,4006.0,,,43.0,9375125.0,,268.0
845,2015,NonResidential,Warehouse,Shurgard Storage,98122,3,East,47.61819351,-122.3173027,1988,1.0,4.0,132828,0,132828,Non-Refrigerated Warehouse,132828.0,,,,,85.0,1033846.0,,7.21
847,2015,NonResidential,Warehouse,Pioneer Industries,98106,1,Delridge,47.53920898,-122.3428177,1970,1.0,1.0,70400,0,70400,Non-Refrigerated Warehouse,58047.0,Office,12353.0,,,1.0,14064603.0,,323.87
850,2015,SPS-District K-12,K-12 School,Leschi Elementary School (Sps-District),98122,3,Central,47.6022912,-122.2917857,1988,1.0,3.0,55353,0,55353,K-12 School,55353.0,,,,,87.0,1520326.0,,10.6
854,2015,SPS-District K-12,Other,Stanford Center Offices (Sps-District),98134,2,Greater Duwamish,47.58091375,-122.3309884,2002,1.0,3.0,338063,0,338063,Other,180633.0,"Repair Services (Vehicle, Shoe, Locksmith, etc)",50000.0,Restaurant,50000.0,,21142886.0,,250.05
857,2015,NonResidential,Warehouse,Puget Sound Freight Lines-Terminal 7A,98106,1,Southwest,47.57322201,-122.3600826,1965,1.0,1.0,152365,0,152365,Non-Refrigerated Warehouse,149293.0,Office,7858.0,,,86.0,1243807.0,,19.98
858,2015,NonResidential,Medical Office,James Tower (Providence Medical Center),98122,3,Central,47.60700607,-122.30950928,1910,1.0,6.0,320946,0,320946,Medical Office,320946.0,,,,,59.0,25533580.0,,188.13
859,2015,NonResidential,Retail Store,Georgetown Center Bldg. 1 & Bldg. 3 - Bldg B,98108,2,Greater Duwamish,47.54847297,-122.3227103,1958,1.0,1.0,74178,0,74178,Retail Store,74178.0,,,,,54.0,5229981.0,,124.92
861,2015,NonResidential,Medical Office,Pat Steel Building (Harborview),98122,3,East,47.6056366,-122.3214798,2003,1.0,5.0,275130,112980,162150,Medical Office,177748.0,,,,,69.0,10624295.0,,74.07
864,2015,NonResidential,Warehouse,Mini Self Storage & Mail Center,98125,5,North,47.70847287,-122.3018744,1987,1.0,4.0,80360,0,80360,Non-Refrigerated Warehouse,80360.0,,,,,94.0,746776.0,,19.06
866,2015,SPS-District K-12,K-12 School,Lafayette Elementary School (Sps-District),98116,1,Southwest,47.58007989,-122.3873108,1950,1.0,1.0,61183,0,61183,K-12 School,62975.0,,,,,91.0,2467851.0,,97.97
867,2015,NonResidential,Supermarket/Grocery Store,Harvard Market Condominium,98122,3,East,47.61378327,-122.3212131,1996,1.0,3.0,119190,0,119190,Supermarket/Grocery Store,46280.0,,,,,75.0,9586556.0,,238.77
868,2015,NonResidential,Other,Bmw Seattle - Showroom & Office,98134,2,Greater Duwamish,47.59373474,-122.32424164,2008,1.0,2.0,51856,0,51856,Automobile Dealership,48103.0,Office,3753.0,,,,2014721.0,,14.05
1280,2015,NonResidential,Small- and Mid-Sized Office,Filson World Headquarters Lp,98134,2,Greater Duwamish,47.58701148,-122.3347036,1921,1.0,3.0,66138,12586,53552,Office,40380.0,Parking,13858.0,Manufacturing/Industrial Plant,12900.0,21.0,4751090.0,,33.12
1281,2015,NonResidential,Large Office,4545 15Th Ave Ne,98105,4,Northeast,47.6620958,-122.31202081,1960,1.0,3.0,113944,48510,65434,Office,65434.0,,,,,1.0,17924416.0,High Outlier,124.96
19445,2015,NonResidential,Mixed Use Property,Pacific Pointe Apts/Retail,98103,4,Lake Union,47.64879342,-122.33322785,2000,1.0,3.0,93079,36093,56986,,,,,,,94.0,1609757.0,,11.22
19451,2015,NonResidential,Senior Care Community,Leon Sullivan Health Care Center,98144,3,Central,47.59508589,-122.29837343,1963,1.0,3.0,66402,0,66402,,,,,,,83.0,8331004.0,,323.34
19461,2015,NonResidential,Worship Facility,University Unitarian Church,98115,4,Northeast,47.67751761,-122.28984675,1957,1.0,2.0,22220,0,22220,Worship Facility,22220.0,,,,,83.0,797435.0,,27.69
19462,2015,SPS-District K-12,K-12 School,Wedgewood Elementary (Sps-District),98115,5,Northeast,47.69064642,-122.29834714,1955,1.0,1.0,46732,0,46732,K-12 School,50956.0,,,,,89.0,2198064.0,,82.72
19472,2015,NonResidential,Mixed Use Property,Puget Sound Energy Georgetown Oper Ctr,98108,2,Greater Duwamish,47.54412779,-122.30873835,1962,1.0,1.0,44700,0,44700,Office,23751.0,Other,14024.0,Non-Refrigerated Warehouse,10095.0,,2065156.0,,30.45
19477,2015,NonResidential,Warehouse,Glacier Marine Services,98108,2,Greater Duwamish,47.54153185,-122.32884313,1976,1.0,1.0,44100,0,44100,Non-Refrigerated Warehouse,40000.0,,,,,1.0,1696009.0,,11.82
19481,2015,NonResidential,Distribution Center,Shultz Distributing,98108,2,Greater Duwamish,47.54125253,-122.32786627,1965,1.0,1.0,27800,0,27800,Distribution Center,27800.0,,,,,10.0,1310481.0,,27.86
