country_code,country,croissance_population,food_proportion_animal_protein,food_protein_g_capita_day,food_supply_kcal_capita_day,animals_proportion_poultry_protein,poultry_balance_commerciale_tonnes,poultry_food_supply_tonnes,poultry_food_proportion_import,taux_urbanisation,political_stability,gdp_per_capita_usd,income_variability,doing_business_score
1,Arménie,-0.041187869597979265,0.48034207019102626,90.03999999999999,2928.0,0.10427745664739883,-32000.0,40000.0,0.8,0.6478241470823143,0.11,3843.5907509999997,2.698087431693989,76.3
2,Afghanistan,0.375759505231575,0.2097854077253219,58.25,2089.0,0.07119476268412438,-48000.0,75000.0,0.64,0.24908652826789424,-2.52,681.034215,1.5318334131163236,48.94
3,Albanie,-0.06172506955147938,0.5332974331358823,111.42,3193.0,0.0831369909121508,-25000.0,42000.0,0.5952380952380952,0.6020754524357498,0.09,4376.970549000001,0.689007203257125,75.37
4,Algérie,0.18316062881328254,0.27174858634188775,91.96,3296.0,0.09123649459783913,-3000.0,291000.0,0.010309278350515464,0.7108671420696476,-1.2,5471.123389,0.42475728155339804,56.92
7,Angola,0.42821584290248693,0.32134125043660494,57.26,2473.0,0.3173913043478261,-342000.0,372000.0,0.9193548387096774,0.3509154815268975,-0.39,5258.408495000001,1.334411645774363,44.43
8,Antigua-et-Barbuda,0.12063968473989917,0.6788914108230797,83.71,2417.0,0.334330459264473,-6000.0,5000.0,1.2,0.22668261367353615,0.96,12194.549592,4.220107571369466,63.79
9,Argentine,0.11043107746539049,0.6522459319886973,102.63,3229.0,0.18494173887063042,364000.0,1602000.0,0.0024968789013732834,0.8910114439552961,0.07,14417.421454,0.4645401052957572,54.74
10,Australie,0.17534456565202028,0.6743814093517735,106.29,3275.0,0.22405133928571425,21000.0,1077000.0,0.015784586815227482,0.8989195545418893,1.03,66544.67095599999,0.7022900763358778,84.29
11,Autriche,0.04916062570604263,0.5918463421523397,106.21000000000001,3768.0,0.12201718103722559,-38000.0,158000.0,0.6645569620253164,0.6524936166482198,1.36,50137.519579,0.1592356687898089,83.92
12,Bahamas,0.1947578116587383,0.6514661740937427,86.62,2671.0,0.27963849016480596,-19000.0,17000.0,1.1176470588235294,0.8276190223730251,1.13,28303.366072000004,2.0591538749532012,65.48
14,Barbade,0.03765178617340914,0.5725294650951949,88.24000000000001,2937.0,0.2808788598574822,-1000.0,12000.0,0.08333333333333333,0.3189066543012789,1.27,15755.427261,1.0895471569628874,63.55
16,Bangladesh,0.13345147689559367,0.1776504297994269,55.84,2450.0,0.04435483870967742,0.0,220000.0,0.0,0.32550379164245224,-1.63,974.193541,0.6122448979591837,44.23
17,Bermudes,-0.03235702173577937,0.6638766519823789,90.8,2671.0,0.20072992700729925,-4000.0,2000.0,2.0,1.040942473435185,0.97,89968.618136,2.4335454885810557,
19,Bolivie (État plurinational de),0.1804504212057998,0.45084078169974245,66.01,2257.0,0.3665994623655914,1000.0,366000.0,0.00273224043715847,0.6945974640643735,-0.33,2947.938522,0.974745237040319,51.53
20,Botswana,0.1796602523140054,0.40718470551958064,64.86,2326.0,0.07194244604316546,-6000.0,11000.0,0.5454545454545454,0.5406639489557704,1.1,7001.009879000001,0.8168529664660361,69.87
21,Brésil,0.10919688917078685,0.5536372249710496,94.99000000000001,3263.0,0.2768587183875261,3899000.0,9016000.0,0.00033274179236912155,0.8431026103669335,-0.26,12216.965936,0.8887526815813669,62.5
23,Belize,0.27886523241556116,0.39516789516789513,73.26,2751.0,0.31537132987910194,0.0,9000.0,0.0,0.4271763984647613,0.18,4685.249911999999,1.6721192293711378,64.86
25,Îles Salomon,0.2613072975072128,0.3099166223168352,56.37,2390.0,0.06525472238122496,-2000.0,2000.0,1.0,0.21334201695435598,0.3,1839.056491,0.9623430962343096,61.66
26,Brunéi Darussalam,0.14807195470147638,0.5668557970238733,93.41,2985.0,0.403399433427762,-2000.0,26000.0,0.07692307692307693,0.7883839927436926,1.07,44598.075686000004,1.1390284757118927,71.42
27,Bulgarie,-0.06890674012071674,0.49449233716475094,83.52,2829.0,0.19588377723970946,-52000.0,149000.0,0.5771812080536913,0.7286431683613076,0.17,7645.932129000001,0.7069635913750442,76.39
28,Myanmar,0.08027948576641442,0.4081113801452785,82.6,2571.0,0.21210323346188076,-1000.0,1165000.0,0.0008583690987124463,0.3416916309368748,-1.14,1207.807683,0.9723842862699339,48.75
32,Cameroun,0.31136904588168623,0.16721452050878946,69.97,2672.0,0.09487179487179488,-1000.0,73000.0,0.0136986301369863,0.5472145343619456,-0.53,1493.748324,0.4865269461077844,41.6
33,Canada,0.11469935663574016,0.5212005717008099,104.95,3494.0,0.23912248628884825,-36000.0,1290000.0,0.17519379844961241,0.81301008537818,1.06,52264.959967,1.5168860904407555,83.08
35,Cabo Verde,0.13030401154413696,0.3792260692464358,73.65,2610.0,0.23702112423916935,-9000.0,9000.0,1.0,0.6151226865292845,0.78,3558.7979,1.2260536398467432,60.16
37,République centrafricaine,0.1300933152337025,0.37182548296071194,46.07,1879.0,0.028604786923525978,-1000.0,7000.0,0.14285714285714285,0.40524724906565024,-2.15,347.913167,0.9047365620010644,36.68
38,Sri Lanka,0.06827504759616909,0.2731535756154748,59.709999999999994,2539.0,0.10300429184549356,2000.0,105000.0,0.0,0.18965366642450057,-0.61,3620.4484520000005,0.3938558487593541,61.25
39,Tchad,0.40418119957007237,0.15465561224489796,62.72,2110.0,0.014432989690721652,0.0,5000.0,0.0,0.21705209444273002,-1.09,1051.306964,1.7535545023696681,34.47
