,F1 (43.9%),F2 (13.2%),F3 (9.2%),F4 (8.6%),F5 (6.8%),F6 (5.6%),F7 (4.3%),F8 (3.0%)
cluster 1,1.4049820255449037,-0.3710391956778977,-0.5324218918265308,-0.5067014477417706,-0.2012726567279958,0.1900543192786804,0.05354791313298568,-0.24323171986611936
cluster 2,3.4087080239659517,-0.5681243812899097,0.6043753560036877,0.26690293845601915,-0.22263380018474188,-0.572758847869524,-0.1046590989173147,0.36508517223678616
cluster 3,3.2190576056686444,1.126913855094955,-1.3460366282159646,2.4598554584450554,-0.0018077557839009163,1.3593577106638417,-0.7248151917176182,-0.29616595645378097
cluster 4,-2.8506505105802584,-0.824812465807586,0.04476901262029989,0.39988568285708376,-0.2642706287435533,-0.28248042725622763,0.046114944824009844,0.11271120958938412
cluster 5,0.5081146942991458,1.8078823896085472,2.8797635981340277,0.7881177561395211,-0.2939263882840604,0.3004477284274839,0.7590631474469847,-0.42470250437761264
cluster 6,-0.7697068118841983,-0.27030901833747134,0.14134404698708442,-0.11808822084826283,0.4325733241657224,0.14533546270812756,-0.02819418624610088,-0.14679046127066214
cluster 7,0.3414865435257322,1.6616488040487638,-0.7248554757160057,-0.3013166242155707,0.8842152725376616,0.059570567928590355,0.39824533262488837,0.47274718338202615
cluster 8,-1.7934100606351915,1.7108042652118425,0.1353473302437883,-0.4882722048423585,-0.4749695836874294,-0.08078706625752999,-0.5225995159958111,0.06378314992808701
