country_code,country,total_population,distance_capitale_paris,credendo_political_risk,credendo_commercial_risk,gdp_usd,chicken_imports_quantity_number,poultry_imports_quantity_tonnes,cannedchicken_imports_quantity_tonnes,chicken_stock_number,poultry_production_quantity_tonnes,chicken_production_quantity_tonnes,poultry_production_proportion_import
54,Danemark,5733550.999999999,1028.0,1.0,1.0,329865537180.00006,2192000.0,33824.0,65971.0,20733000.0,171184.0,168000.0,0.5872093023255814
55,Dominique,73925.0,6828.0,5.0,3.0,496727009.99999994,80000.0,3966.0,49.0,198000.0,360.0,260.0,inf
56,République dominicaine,10766998.0,7188.0,2.0,2.0,75931730487.0,680000.0,26686.0,14736.0,184000000.0,339110.0,269514.0,0.08823529411764706
57,Bélarus,9468338.0,1829.0,5.0,2.0,54441189058.0,14909000.0,17236.0,1373.0,46000000.0,46000.0,365084.0,0.04155844155844156
58,Équateur,16624858.0,9370.0,5.0,3.0,104295862000.0,2892000.0,,194.0,160556000.0,338000.0,334980.0,0.0029239766081871343
59,Égypte,97553151.0,3216.0,4.0,3.0,195135524250.0,5855000.0,100456.0,403.0,156453000.0,1010000.0,834135.0,0.1179245283018868
60,El Salvador,6377853.0,8986.0,3.0,2.0,24805439641.0,3955000.0,10886.0,3990.0,17072000.0,140560.0,131828.0,0.14912280701754385
63,Estonie,1309632.0,1861.0,1.0,2.0,25921079612.0,1908000.0,16904.0,3293.0,2054000.0,20400.0,16935.0,1.1111111111111112
66,Fidji,905502.0,16599.0,4.0,2.0,4873682447.0,433000.0,1572.0,67.0,5233000.0,22897.0,16498.0,0.05555555555555555
67,Finlande,5523231.0,1911.0,1.0,1.0,252246619919.99997,371000.0,4985.0,8531.0,8047000.0,120780.0,105416.0,0.14414414414414414
68,France,64979547.99999999,0.0,1.0,2.0,2582492292100.0,23322000.0,355597.0,66623.0,166000000.0,1102774.0,1205600.0,0.24853113983548766
70,Polynésie française,283007.0,,3.0,2.0,5605509811.999999,114000.0,15744.0,350.0,318000.0,633.0,483.0,inf
72,Djibouti,956985.0,5597.0,5.0,3.0,1844677019.9999998,,1614.0,66.0,,,,inf
73,Géorgie,3912060.9999999995,3372.0,4.0,2.0,15159029523.0,1512000.0,51514.0,467.0,8046000.0,21800.0,8529.0,4.3
74,Gabon,2025137.0000000002,5439.0,5.0,3.0,14623376844.999998,247000.0,52787.0,298.0,3177000.0,3901.0,3691.0,17.5
75,Gambie,2100567.9999999995,4308.0,6.0,3.0,1489463921.0,22000.0,15121.0,77.0,1360000.0,1513.0,1547.0,4.0
79,Allemagne,82114224.0,879.0,1.0,1.0,3693204332200.0,190489000.0,447257.0,176250.0,160000000.0,1009565.0,1108088.0,0.540837336993823
80,Bosnie-Herzégovine,3507017.0000000005,1348.0,5.0,2.0,18169075913.0,2371000.0,8276.0,1410.0,16282000.0,60970.0,40714.0,0.3333333333333333
81,Ghana,28833629.0,4828.0,4.0,3.0,58996324228.0,7643000.0,93108.0,815.0,74478000.0,59653.0,47385.0,3.392156862745098
83,Kiribati,116398.0,14374.0,6.0,2.0,197211514.0,0.0,753.0,375.0,663000.0,925.0,765.0,1.0
84,Grèce,11159773.000000002,2100.0,4.0,3.0,203085551430.0,2388000.0,51876.0,10087.0,31133000.0,150695.0,116263.0,0.5572519083969466
86,Grenade,107825.0,7124.0,4.0,2.0,1126882288.0,225000.0,5729.0,95.0,274000.0,531.0,402.0,7.0
89,Guatemala,16913503.0,9005.0,3.0,2.0,75619622221.0,12148000.0,122547.0,13457.0,36278000.0,234986.0,171760.0,0.4635416666666667
90,Guinée,12717176.000000002,4626.0,6.0,3.0,10208483639.0,1721000.0,25512.0,246.0,31541000.0,12955.0,6457.0,1.4444444444444444
91,Guyana,777858.9999999999,7317.0,5.0,2.0,3543200968.0,21000.0,747.0,295.0,27380000.0,30668.0,29220.0,0.06896551724137931
93,Haïti,10981229.0,7364.0,5.0,3.0,8521132073.000001,283000.0,88265.0,299.0,5729000.0,8461.0,7667.0,7.777777777777778
95,Honduras,9265067.0,8809.0,3.0,2.0,22978547168.0,1501000.0,12104.0,2877.0,45633000.0,192593.0,153540.0,0.11258278145695365
96,Chine - RAS de Hong-Kong,7364883.000000001,,1.0,1.0,341659384720.0,414000.0,733859.0,93055.0,1300000.0,23405.0,1.0,42.357142857142854
97,Hongrie,9721559.000000002,1247.0,2.0,1.0,139761138100.0,24287000.0,22786.0,11219.0,32027000.0,341107.0,285474.0,0.1382716049382716
98,Croatie,4189353.0,1081.0,2.0,1.0,55201151720.0,7408000.0,13382.0,4444.0,9840000.0,48321.0,26086.0,0.6206896551724138
99,Islande,335025.0,2231.0,1.0,2.0,24476988541.0,,1037.0,177.0,230000.0,9697.0,7879.0,0.125
100,Inde,1339180127.0,6597.0,2.0,2.0,2575666610800.0,115000.0,7.0,13.0,783269000.0,3519959.0,2328258.0,0.0
101,Indonésie,263991378.99999997,11598.0,2.0,2.0,1015539020100.0,5662000.0,,575.0,2175612000.0,2258239.0,1837790.0,0.0005341880341880342
102,Iran (République islamique d'),81162788.0,4216.0,7.0,3.0,460976107830.0,694000.0,3013.0,96.0,1030068000.0,2161678.0,1962330.0,0.008590197069226882
103,Iraq,38274617.99999999,3868.0,6.0,3.0,182023537510.0,1007000.0,328579.0,6608.0,50073000.0,96000.0,85630.0,4.693181818181818
104,Irlande,4761657.0,780.0,1.0,1.0,331430013890.0,9587000.0,77388.0,39054.0,15379000.0,80628.0,104710.0,0.7766990291262136
105,Israël,8321570.0,3286.0,2.0,1.0,353268413310.0,784000.0,,,46287000.0,538066.0,442537.0,0.0
106,Italie,59359900.0,1109.0,1.0,2.0,1943835376300.0,11922000.0,42336.0,24055.0,148349000.0,1006677.0,914000.0,0.07078925956061839
107,Côte d'Ivoire,24294750.0,4883.0,4.0,2.0,38054897401.99999,1873000.0,1789.0,211.0,70042000.0,58019.0,47142.0,0.020833333333333332
108,Kazakhstan,18204499.0,4763.0,4.0,2.0,159406915250.0,4470000.0,164386.0,1236.0,38376000.0,170729.0,127538.0,1.2573529411764706
109,Jamaïque,2890299.0000000005,7735.0,4.0,2.0,14826786687.0,506000.0,25656.0,3872.0,13916000.0,138697.0,103813.0,0.41346153846153844
110,Japon,127484450.0,9723.0,1.0,2.0,4872415104300.0,558000.0,551194.0,427942.0,313823000.0,2214899.0,1448515.0,0.7237834132967786
112,Jordanie,9702353.000000002,3372.0,5.0,2.0,40708450704.0,970000.0,61687.0,2788.0,28853000.0,209696.0,197464.0,0.46153846153846156
113,Kirghizistan,6045116.999999999,5425.0,5.0,3.0,7564742367.0,27000.0,11169.0,248.0,4415000.0,7251.0,6021.0,8.5
114,Kenya,49699862.0,6493.0,5.0,3.0,74938178836.0,437000.0,236.0,38.0,48125000.0,35090.0,25761.0,0.0
115,Cambodge,16005373.0,9952.0,4.0,3.0,22121368236.000004,151000.0,756.0,169.0,13827000.0,18295.0,17415.0,0.037037037037037035
116,République populaire démocratique de Corée,25490965.0,8781.0,7.0,3.0,17364724931.0,,24.0,1852.0,15393000.0,29663.0,33000.0,0.0
117,République de Corée,50982212.0,8976.0,1.0,1.0,1530750894400.0,1097000.0,109262.0,23102.0,170551000.0,766800.0,615498.0,0.18985507246376812
118,Koweït,4136528.0000000005,4412.0,3.0,3.0,119534021150.0,2603000.0,128335.0,4617.0,53012000.0,55755.0,40059.0,3.159090909090909
119,Lettonie,1949670.0,1705.0,1.0,1.0,30463302413.999996,1947000.0,29103.0,4018.0,2171000.0,33393.0,25865.0,1.0740740740740742
120,République démocratique populaire lao,6858160.0,9248.0,6.0,3.0,16853104544.999998,1029000.0,56502.0,75.0,36960000.0,28636.0,20326.0,0.0
121,Liban,6082357.0,3196.0,6.0,3.0,53393799595.0,1017000.0,9403.0,4200.0,67849000.0,64349.0,83475.0,0.19318181818181818
122,Lesotho,2233339.0,9056.0,4.0,3.0,2631569594.0,2302000.0,11929.0,381.0,433000.0,1920.0,1600.0,4.25
123,Libéria,4731906.0,4896.0,6.0,3.0,2762628933.0,4000.0,32202.0,312.0,8676000.0,14131.0,11581.0,1.9230769230769231
126,Lituanie,2890297.0,1698.0,1.0,2.0,47544459558.99999,8244000.0,29533.0,3451.0,9917000.0,110816.0,87367.0,0.3548387096774194
128,Chine - RAS de Macao,622567.0,,1.0,1.0,50361194822.00001,2810000.0,15994.0,1722.0,755000.0,3357.0,1170.0,4.25
129,Madagascar,25570895.0,8771.0,5.0,3.0,13208391168.0,905000.0,67.0,9.0,38800000.0,46533.0,38377.0,0.0
130,Malawi,18622104.0,7652.0,6.0,3.0,6339282432.999999,148000.0,291.0,5.0,18338000.0,130114.0,22756.0,0.0
131,Malaisie,31624264.0,10437.0,2.0,2.0,314707268050.0,1644000.0,71534.0,361.0,308255000.0,1648491.0,1367441.0,0.03223593964334705
132,Maldives,436330.0,8298.0,4.0,3.0,4865555985.0,17000.0,46736.0,280.0,,,,inf
133,Mali,18541980.0,4144.0,6.0,2.0,15235824977.0,2900000.0,274.0,900.0,45000000.0,48000.0,44246.0,0.06818181818181818
134,Malte,430835.0,1752.0,1.0,1.0,12553225573.0,9000.0,5202.0,3258.0,956000.0,3676.0,4062.0,2.25
136,Mauritanie,4420184.0,3803.0,6.0,3.0,4992107857.999999,13000.0,22291.0,269.0,4627000.0,4775.0,4630.0,3.4
137,Maurice,1265138.0,9425.0,2.0,2.0,13366072393.0,248000.0,202.0,1394.0,16078000.0,47500.0,48421.0,0.0425531914893617
138,Mexique,129163276.0,9199.0,2.0,2.0,1158229075200.0,2865000.0,780608.0,14264.0,556128000.0,3211687.0,2801250.0,0.2983134223471539
141,Mongolie,3075647.0,7056.0,5.0,2.0,11135047196.0,,7372.0,222.0,695000.0,220.0,139.0,inf
143,Maroc,35739580.0,1817.0,2.0,2.0,109708752750.0,5037000.0,754.0,2052.0,199186000.0,690000.0,599265.0,0.005847953216374269
144,Mozambique,29668834.0,8857.0,7.0,3.0,12651920523.0,839000.0,23499.0,351.0,17741000.0,88952.0,23129.0,0.37037037037037035
146,République de Moldova,4051212.0,1977.0,5.0,2.0,8128478103.0,3480000.0,13539.0,267.0,37745000.0,53350.0,31381.0,0.4418604651162791
147,Namibie,2533794.0,8086.0,4.0,3.0,13244596876.000002,8406000.0,20461.0,1598.0,4375000.0,10806.0,7680.0,1.5
149,Népal,29304998.0,7245.0,4.0,3.0,24870224032.0,1781000.0,64.0,55.0,70007000.0,57268.0,42811.0,0.0
150,Pays-Bas,17035938.000000004,430.0,1.0,1.0,830572618850.0,350597000.0,274370.0,168101.0,105184000.0,1034319.0,932559.0,0.5731462925851704
153,Nouvelle-Calédonie,276255.0,,3.0,2.0,9894207006.0,5000.0,8564.0,673.0,460000.0,880.0,851.0,11.0
154,Macédoine du Nord,2083159.9999999998,1670.0,4.0,2.0,11279517291.0,1098000.0,33322.0,2644.0,1840000.0,1716.0,2314.0,19.0
155,Vanuatu,276244.0,16348.0,3.0,2.0,864199997.0,29000.0,2836.0,60.0,880000.0,1151.0,838.0,2.0
