country_code,country,croissance_population,food_proportion_animal_protein,food_protein_g_capita_day,food_supply_kcal_capita_day,animals_proportion_poultry_protein,poultry_balance_commerciale_tonnes,poultry_food_supply_tonnes,poultry_food_proportion_import,taux_urbanisation,political_stability,gdp_per_capita_usd,income_variability,doing_business_score
1,Arménie,-0.0008884930938923841,0.48034207019102626,90.03999999999999,2928.0,0.10427745664739883,-32000.0,40000.0,0.8,0.638005767032367,-0.6,3936.798582,2.698087431693989,76.3
2,Afghanistan,0.3348746535645617,0.2097854077253219,58.25,2089.0,0.07119476268412438,-48000.0,75000.0,0.64,0.2595842942210011,-2.75,618.98999,1.5318334131163236,48.94
3,Albanie,-0.03099301665031362,0.5332974331358823,111.42,3193.0,0.0831369909121508,-25000.0,42000.0,0.5952380952380952,0.6511826719591617,0.26,4450.008107,0.689007203257125,75.37
4,Algérie,0.2046078848338413,0.27174858634188775,91.96,3296.0,0.09123649459783913,-3000.0,291000.0,0.010309278350515464,0.7300700258980668,-1.14,4055.2465799999995,0.42475728155339804,56.92
7,Angola,0.4184511370228541,0.32134125043660494,57.26,2473.0,0.3173913043478261,-342000.0,372000.0,0.9193548387096774,0.37090902546864374,-0.39,4247.411049,1.334411645774363,44.43
8,Antigua-et-Barbuda,0.11633709414429694,0.6788914108230797,83.71,2417.0,0.334330459264473,-6000.0,5000.0,1.2,0.21161235933027486,1.01,14803.010927000001,4.220107571369466,63.79
9,Argentine,0.10760052282919408,0.6522459319886973,102.63,3229.0,0.18494173887063042,364000.0,1602000.0,0.0024968789013732834,0.890556289381133,0.22,14399.621068999999,0.4645401052957572,54.74
10,Australie,0.16727709004164093,0.6743814093517735,106.29,3275.0,0.22405133928571425,21000.0,1077000.0,0.015784586815227482,0.8996146141595689,0.96,57613.226228,0.7022900763358778,84.29
11,Autriche,0.050972216189955954,0.5918463421523397,106.21000000000001,3768.0,0.12201718103722559,-38000.0,158000.0,0.6645569620253164,0.6524248942785221,0.82,47717.728647,0.1592356687898089,83.92
12,Bahamas,0.15491867448762564,0.6514661740937427,86.62,2671.0,0.27963849016480596,-19000.0,17000.0,1.1176470588235294,0.8333851846793185,0.9,29824.66915,2.0591538749532012,65.48
14,Barbade,0.034651457541191366,0.5725294650951949,88.24000000000001,2937.0,0.2808788598574822,-1000.0,12000.0,0.08333333333333333,0.3187537405632807,0.96,16494.171852,1.0895471569628874,63.55
16,Bangladesh,0.11914269665924704,0.1776504297994269,55.84,2450.0,0.04435483870967742,0.0,220000.0,0.0,0.356752340021453,-1.24,1491.6734099999999,0.6122448979591837,44.23
17,Bermudes,-0.05459840966528995,0.6638766519823789,90.8,2671.0,0.20072992700729925,-4000.0,2000.0,2.0,1.0725358196547619,1.0,102192.114688,2.4335454885810557,
19,Bolivie (État plurinational de),0.17054128584568207,0.45084078169974245,66.01,2257.0,0.3665994623655914,1000.0,366000.0,0.00273224043715847,0.7135574034528936,-0.21,3393.955822,0.974745237040319,51.53
20,Botswana,0.1970561226568548,0.40718470551958064,64.86,2326.0,0.07194244604316546,-6000.0,11000.0,0.5454545454545454,0.529655127874498,1.09,7595.595817,0.8168529664660361,69.87
21,Brésil,0.09559735378684397,0.5536372249710496,94.99000000000001,3263.0,0.2768587183875261,3899000.0,9016000.0,0.00033274179236912155,0.8513083470446442,-0.45,9821.439776000001,0.8887526815813669,62.5
23,Belize,0.25560392350045413,0.39516789516789513,73.26,2751.0,0.31537132987910194,0.0,9000.0,0.0,0.4239846696256282,0.06,5076.988840999999,1.6721192293711378,64.86
25,Îles Salomon,0.2401975899703821,0.3099166223168352,56.37,2390.0,0.06525472238122496,-2000.0,2000.0,1.0,0.23086385220735328,0.51,1982.28432,0.9623430962343096,61.66
26,Brunéi Darussalam,0.14360674804729157,0.5668557970238733,93.41,2985.0,0.403399433427762,-2000.0,26000.0,0.07692307692307693,0.7966302540022443,1.26,28290.766219,1.1390284757118927,71.42
27,Bulgarie,-0.06374801786030282,0.49449233716475094,83.52,2829.0,0.19588377723970946,-52000.0,149000.0,0.5771812080536913,0.7369287427566187,0.03,8218.195576,0.7069635913750442,76.39
28,Myanmar,0.08539531346416229,0.4081113801452785,82.6,2571.0,0.21210323346188076,-1000.0,1165000.0,0.0008583690987124463,0.3628040107243295,-0.63,1257.281029,0.9723842862699339,48.75
32,Cameroun,0.30759545231688246,0.16721452050878946,69.97,2672.0,0.09487179487179488,-1000.0,73000.0,0.0136986301369863,0.5668208506731617,-0.95,1451.9176320000001,0.4865269461077844,41.6
33,Canada,0.10915428293431972,0.5212005717008099,104.95,3494.0,0.23912248628884825,-36000.0,1290000.0,0.17519379844961241,0.8207318609206989,1.24,44973.548101,1.5168860904407555,83.08
35,Cabo Verde,0.12324283875848496,0.3792260692464358,73.65,2610.0,0.23702112423916935,-9000.0,9000.0,1.0,0.6328799314772653,0.88,3244.671167,1.2260536398467432,60.16
37,République centrafricaine,0.08963936573272835,0.37182548296071194,46.07,1879.0,0.028604786923525978,-1000.0,7000.0,0.14285714285714285,0.4356259175631241,-1.74,427.714079,0.9047365620010644,36.68
38,Sri Lanka,0.05381552445992943,0.2731535756154748,59.709999999999994,2539.0,0.10300429184549356,2000.0,105000.0,0.0,0.19400886634745929,0.07,4184.365324,0.3938558487593541,61.25
39,Tchad,0.3827392130521723,0.15465561224489796,62.72,2110.0,0.014432989690721652,0.0,5000.0,0.0,0.22051371295854216,-1.21,719.2590299999999,1.7535545023696681,34.47
