,croissance_population,food_proportion_animal_protein,food_protein_g_capita_day,food_supply_kcal_capita_day,gdp_per_capita_usd
cluster 1,0.26311663856249995,0.2440060519314456,60.35927272727273,2387.7090909090907,1766.7529386909093
cluster 2,1.4068483874105673,0.39854726177960437,104.63,3280.0,43315.138419
cluster 3,0.09545186425668643,0.6238966650182212,109.13181818181819,3407.0,59794.25696845453
cluster 4,0.08185521848996795,0.48857388547678177,78.68890909090908,2824.163636363636,7960.089901518049
cluster 5,0.06149085895982282,0.5752591009014781,101.03083333333335,3162.2083333333335,21777.554341749998
cluster 6,0.25235610247827145,0.3609169536423899,92.92882352941176,3230.9411764705883,10620.958590411763
