loss,factorization_time,params,iteration
0.7606036837487714,21.963060883999788,"{'model__doc_topic_prior': 5, 'model__n_components': 3, 'model__topic_word_prior': 10, 'vectorizer__max_df': 0.9736751486699005, 'vectorizer__min_df': 0.03282657416550227, 'vectorizer__ngram_range': (1, 3)}",25
0.767367592076012,19.035737497999435,"{'model__doc_topic_prior': 5, 'model__n_components': 5, 'model__topic_word_prior': 10, 'vectorizer__max_df': 0.9856795046128101, 'vectorizer__min_df': 0.03266020039392736, 'vectorizer__ngram_range': (1, 3)}",26
0.7706748165108991,17.713647391999984,"{'model__doc_topic_prior': 5, 'model__n_components': 10, 'model__topic_word_prior': 10, 'vectorizer__max_df': 0.9764523650643354, 'vectorizer__min_df': 0.03208977624039674, 'vectorizer__ngram_range': (1, 3)}",27
0.7747462036209429,16.918781165999462,"{'model__doc_topic_prior': 5, 'model__n_components': 19, 'model__topic_word_prior': 10, 'vectorizer__max_df': 0.984007302300641, 'vectorizer__min_df': 0.04277334297138202, 'vectorizer__ngram_range': (1, 3)}",28
0.7551651606910902,37.32883535499968,"{'model__doc_topic_prior': 0.1, 'model__n_components': 19, 'model__topic_word_prior': 10, 'vectorizer__max_df': 0.9838826430216648, 'vectorizer__min_df': 0.04236066339936233, 'vectorizer__ngram_range': (1, 3)}",29
0.6157556827962849,14.27116982699954,"{'model__doc_topic_prior': 5, 'model__n_components': 19, 'model__topic_word_prior': 10, 'vectorizer__max_df': 0.979107338074726, 'vectorizer__min_df': 0.04933572249362624, 'vectorizer__ngram_range': (1, 2)}",30
0.7680555489437397,16.98465972899976,"{'model__doc_topic_prior': 5, 'model__n_components': 17, 'model__topic_word_prior': 0.05, 'vectorizer__max_df': 0.9873700776122906, 'vectorizer__min_df': 0.043000614046105966, 'vectorizer__ngram_range': (1, 3)}",31
0.764163822181773,19.34120495100069,"{'model__doc_topic_prior': 5, 'model__n_components': 4, 'model__topic_word_prior': 10, 'vectorizer__max_df': 0.9827871243016978, 'vectorizer__min_df': 0.03556799394808536, 'vectorizer__ngram_range': (1, 3)}",32
0.7722358032884111,31.286016693999045,"{'model__doc_topic_prior': 0.1, 'model__n_components': 2, 'model__topic_word_prior': 10, 'vectorizer__max_df': 0.9731913472481968, 'vectorizer__min_df': 0.04348019041023095, 'vectorizer__ngram_range': (1, 3)}",33
0.59140044859777,56.42705410200142,"{'model__doc_topic_prior': 0.05, 'model__n_components': 16, 'model__topic_word_prior': 10, 'vectorizer__max_df': 0.9676002279164868, 'vectorizer__min_df': 0.01006751731551684, 'vectorizer__ngram_range': (1, 2)}",34
0.7631061466554294,23.68757693900079,"{'model__doc_topic_prior': 1, 'model__n_components': 19, 'model__topic_word_prior': 0.5, 'vectorizer__max_df': 0.9812117463051804, 'vectorizer__min_df': 0.03869194969624167, 'vectorizer__ngram_range': (1, 3)}",35
0.7337949976653331,43.24741833199914,"{'model__doc_topic_prior': 0.5, 'model__n_components': 7, 'model__topic_word_prior': 10, 'vectorizer__max_df': 0.9617203883123473, 'vectorizer__min_df': 0.0297356129802438, 'vectorizer__ngram_range': (1, 3)}",36
0.5869036464729032,28.953848729999663,"{'model__doc_topic_prior': 0.05, 'model__n_components': 19, 'model__topic_word_prior': 0.1, 'vectorizer__max_df': 0.9687169738408606, 'vectorizer__min_df': 0.049763697381386376, 'vectorizer__ngram_range': (1, 2)}",37
0.7696217173178473,17.31529903699993,"{'model__doc_topic_prior': 5, 'model__n_components': 17, 'model__topic_word_prior': 0.05, 'vectorizer__max_df': 0.9865017329977859, 'vectorizer__min_df': 0.03479105366342672, 'vectorizer__ngram_range': (1, 3)}",38
0.7646657132887227,34.648647082000025,"{'model__doc_topic_prior': 0.1, 'model__n_components': 4, 'model__topic_word_prior': 0.5, 'vectorizer__max_df': 0.9782153584158171, 'vectorizer__min_df': 0.039771599456889135, 'vectorizer__ngram_range': (1, 3)}",39
0.6137124322637956,14.336091588000272,"{'model__doc_topic_prior': 5, 'model__n_components': 11, 'model__topic_word_prior': 10, 'vectorizer__max_df': 0.9653529580545529, 'vectorizer__min_df': 0.04478704177093868, 'vectorizer__ngram_range': (1, 2)}",40
0.7737359453059073,39.55502009800148,"{'model__doc_topic_prior': 0.05, 'model__n_components': 3, 'model__topic_word_prior': 0.1, 'vectorizer__max_df': 0.9732991929129496, 'vectorizer__min_df': 0.027318206314723294, 'vectorizer__ngram_range': (1, 3)}",41
0.7712806753713174,41.91620957399937,"{'model__doc_topic_prior': 0.05, 'model__n_components': 3, 'model__topic_word_prior': 0.1, 'vectorizer__max_df': 0.972620707861725, 'vectorizer__min_df': 0.02203902776622718, 'vectorizer__ngram_range': (1, 3)}",42
0.7475497629166735,42.84781452900097,"{'model__doc_topic_prior': 0.05, 'model__n_components': 9, 'model__topic_word_prior': 0.1, 'vectorizer__max_df': 0.9629708295391585, 'vectorizer__min_df': 0.027080473100131373, 'vectorizer__ngram_range': (1, 3)}",43
