validation_hamming_loss,training_hamming_loss,fit_time,test_time,params_data,params_vectorizer,params_classifier,iteration
0.015044755219772731,0.011595968064510498,26.669894647598266,0.37715969085693357,both,{'vectorizer': 'use'},"{'C': 0.008992403203861861, 'multi': 'BinaryRelevance', 'classifier': 'logistic_regression'}",32
0.01514867857048732,0.012311400113589424,24.15601019859314,0.36170291900634766,both,{'vectorizer': 'use'},"{'C': 0.006205109348195814, 'multi': 'BinaryRelevance', 'classifier': 'logistic_regression'}",33
0.0157101667828604,0.008012302422925064,52.72002735137939,0.40602521896362304,both,{'vectorizer': 'use'},"{'C': 0.07196980121491708, 'multi': 'BinaryRelevance', 'classifier': 'logistic_regression'}",34
0.015083107796530704,0.011909474305523065,25.29990487098694,0.3497932434082031,both,{'vectorizer': 'use'},"{'C': 0.007511982560442599, 'multi': 'BinaryRelevance', 'classifier': 'logistic_regression'}",35
0.015121965642833423,0.010101061027253035,35.25061898231506,0.38180127143859866,both,{'vectorizer': 'use'},"{'C': 0.022370881905433838, 'multi': 'BinaryRelevance', 'classifier': 'logistic_regression'}",36
0.015333767379233754,0.009291526785893355,41.06797795295715,0.34739084243774415,both,{'vectorizer': 'use'},"{'C': 0.034971670175632144, 'multi': 'BinaryRelevance', 'classifier': 'logistic_regression'}",37
0.01547763089960914,0.008721493517196156,45.954569053649905,0.36594271659851074,both,{'vectorizer': 'use'},"{'C': 0.04806605786437273, 'multi': 'BinaryRelevance', 'classifier': 'logistic_regression'}",38
0.017493621691629387,0.016441144526749666,16.872533559799194,0.3562791347503662,both,{'vectorizer': 'use'},"{'C': 0.0010703253851588497, 'multi': 'BinaryRelevance', 'classifier': 'logistic_regression'}",39
0.015011640098538583,0.011035651385020792,29.765039920806885,0.3607464790344238,both,{'vectorizer': 'use'},"{'C': 0.012359398855677611, 'multi': 'BinaryRelevance', 'classifier': 'logistic_regression'}",40
0.015039346337438433,0.011663507549562344,27.269948291778565,0.376962947845459,both,{'vectorizer': 'use'},"{'C': 0.008706559851606063, 'multi': 'BinaryRelevance', 'classifier': 'logistic_regression'}",41
0.015183969341257469,0.012551541740992194,23.76383752822876,0.3618433475494385,both,{'vectorizer': 'use'},"{'C': 0.005394686510018881, 'multi': 'BinaryRelevance', 'classifier': 'logistic_regression'}",42
0.015649825291501194,0.013694400650828758,21.00406770706177,0.36966538429260254,both,{'vectorizer': 'use'},"{'C': 0.0030292683710329204, 'multi': 'BinaryRelevance', 'classifier': 'logistic_regression'}",43
0.015002590268724714,0.010915119175833727,30.626303052902223,0.34679079055786133,both,{'vectorizer': 'use'},"{'C': 0.013454210797822818, 'multi': 'BinaryRelevance', 'classifier': 'logistic_regression'}",44
0.015389094113053208,0.00873378766050829,47.153878116607665,0.3708957672119141,both,{'vectorizer': 'use'},"{'C': 0.04779339196327758, 'multi': 'BinaryRelevance', 'classifier': 'logistic_regression'}",45
0.015055852631661312,0.01035245777586859,34.49638104438782,0.3750659942626953,both,{'vectorizer': 'use'},"{'C': 0.019080081989603922, 'multi': 'BinaryRelevance', 'classifier': 'logistic_regression'}",46
0.015102364664241207,0.009722613941950614,39.030610179901124,0.35956578254699706,both,{'vectorizer': 'use'},"{'C': 0.02742128039983838, 'multi': 'BinaryRelevance', 'classifier': 'logistic_regression'}",47
0.01565721291493672,0.008404388890441686,49.642553091049194,0.37762885093688964,both,{'vectorizer': 'use'},"{'C': 0.05748787070530991, 'multi': 'BinaryRelevance', 'classifier': 'logistic_regression'}",48
0.015283882150502992,0.009152139650741808,42.87453188896179,0.3773058891296387,both,{'vectorizer': 'use'},"{'C': 0.03767964543418458, 'multi': 'BinaryRelevance', 'classifier': 'logistic_regression'}",49
0.014942695030992973,0.011277295039185177,28.798143291473387,0.3700116157531738,both,{'vectorizer': 'use'},"{'C': 0.010850823081982257, 'multi': 'BinaryRelevance', 'classifier': 'logistic_regression'}",50
