validation_hamming_loss,training_hamming_loss,fit_time,test_time,params_data,params_vectorizer,params_lda,params_classifier,iteration
0.06413111781532835,0.06459374508879459,1.877413651999973,2.7419284770000445,title,"{'max_df': 0.9534963477609893, 'min_df': 0.03549345912607054, 'ngram_range': (1, 3)}",{'n_components': 35},ClassifierChain,1
0.07374110953058322,0.07126826968411126,0.6021780419999914,1.292574170000023,title,"{'max_df': 0.951620717172062, 'min_df': 0.04764621128742336, 'ngram_range': (1, 2)}",{'n_components': 25},BinaryRelevance,2
0.028042142778984883,0.028195819581958197,17.664910872999997,2.8676240550000216,title,"{'max_df': 0.984565116618598, 'min_df': 0.04804895626373317, 'ngram_range': (1, 2)}","{'doc_topic_prior': 0.5138200856158927, 'n_components': 35, 'topic_word_prior': 0.004329876036704857}",BinaryRelevance,3
0.028042142778984883,0.028195819581958197,16.563966393999976,2.8520619730000476,title,"{'max_df': 0.9553958306276664, 'min_df': 0.010837425718704701, 'ngram_range': (1, 3)}",{'n_components': 45},ClassifierChain,4
0.028042142778984883,0.028195819581958197,33.23615361399999,115.34896674600009,title,"{'max_df': 0.9725782878224837, 'min_df': 0.045563222583173295, 'ngram_range': (1, 1)}","{'doc_topic_prior': 3.094007864244481, 'n_components': 30, 'topic_word_prior': 1.0548777482285927}",BinaryRelevance,5
0.02621074515811358,0.026355492692126354,34.854010066,16.936487485000043,title,"{'max_df': 0.9786285304842813, 'min_df': 0.031064809485107696, 'ngram_range': (1, 3)}",{'n_components': 20},ClassifierChain,6
0.02677316993106467,0.026974697469746976,23.420944893999945,3.2199575749999667,title,"{'max_df': 0.9725840149256466, 'min_df': 0.03355583945223588, 'ngram_range': (1, 2)}",{'n_components': 20},BinaryRelevance,7
0.028042142778984883,0.028195819581958197,10.866233996999995,4.471350185000006,title,"{'max_df': 0.9793552994107522, 'min_df': 0.02688330343802789, 'ngram_range': (1, 3)}","{'doc_topic_prior': 0.2390452620936638, 'n_components': 40, 'topic_word_prior': 0.23468141668215992}",BinaryRelevance,8
0.02556359714254451,0.025649850699355648,21.64826065500006,3.2499913430000333,title,"{'max_df': 0.9510320434021408, 'min_df': 0.032831112107155926, 'ngram_range': (1, 1)}","{'doc_topic_prior': 0.1704965132605319, 'n_components': 40, 'topic_word_prior': 2.0293430718491496}",BinaryRelevance,9
0.026178544073280914,0.02628948609146629,81.61946132700007,4.88187270800006,title,"{'max_df': 0.9678060494112435, 'min_df': 0.029406302533045985, 'ngram_range': (1, 2)}","{'doc_topic_prior': 0.030390787275205566, 'n_components': 45, 'topic_word_prior': 0.0010005624563313635}",ClassifierChain,10
0.04831350726087568,0.048582429671538585,0.7373149639998928,5.376865007999982,title,"{'max_df': 0.9609885939534166, 'min_df': 0.033146573449135394, 'ngram_range': (1, 3)}",{'n_components': 15},BinaryRelevance,11
0.023251059040532724,0.021691026245481693,161.05398453899988,11.87556538900003,title,"{'max_df': 0.9779294991494683, 'min_df': 0.014361843178177802, 'ngram_range': (1, 1)}",{'n_components': 30},BinaryRelevance,12
0.028042142778984883,0.028195819581958197,10.126616118000129,5.688898899999913,title,"{'max_df': 0.9605059538210886, 'min_df': 0.03666393010622525, 'ngram_range': (1, 3)}","{'doc_topic_prior': 0.007294838665869604, 'n_components': 45, 'topic_word_prior': 0.040596659536163066}",ClassifierChain,13
0.028042142778984883,0.028195819581958197,21.12982373,3.107594486999915,title,"{'max_df': 0.9590346778556338, 'min_df': 0.013658231154124607, 'ngram_range': (1, 2)}","{'doc_topic_prior': 0.21971579766659097, 'n_components': 35, 'topic_word_prior': 0.0018558809056208798}",BinaryRelevance,14
0.028042142778984883,0.028195819581958197,12.15757307900003,1.9860680099998262,title,"{'max_df': 0.9817957310357887, 'min_df': 0.01443142629801743, 'ngram_range': (1, 1)}",{'n_components': 35},ClassifierChain,15
0.025590170853328747,0.025714285714285714,24.075472840000202,3.6755370999999286,title,"{'max_df': 0.9515477329720967, 'min_df': 0.023235338832493867, 'ngram_range': (1, 2)}","{'doc_topic_prior': 0.02027667744989153, 'n_components': 45, 'topic_word_prior': 0.0021356074070579163}",BinaryRelevance,16
0.2974010910853016,0.3075640421184976,4.338749690999975,5.349302143999921,title,"{'max_df': 0.9755097011104671, 'min_df': 0.025121913522787018, 'ngram_range': (1, 3)}",{'n_components': 30},ClassifierChain,17
0.028042142778984883,0.028195819581958197,31.045402142000057,5.798046897000177,title,"{'max_df': 0.9523954662324978, 'min_df': 0.037263902140738256, 'ngram_range': (1, 3)}","{'doc_topic_prior': 1.6398497257853852, 'n_components': 35, 'topic_word_prior': 0.4771678143394008}",ClassifierChain,18
0.02581745423850687,0.025928021373565927,145.803596428,62.601748012999906,title,"{'max_df': 0.9713962321142278, 'min_df': 0.022527443609729685, 'ngram_range': (1, 2)}",{'n_components': 45},BinaryRelevance,19
0.0295568442936864,0.029743831526009745,47.063477401,1.3706962369999474,title,"{'max_df': 0.9759926891390613, 'min_df': 0.04044756020304054, 'ngram_range': (1, 1)}",{'n_components': 25},ClassifierChain,20
0.023864755443702812,0.020485619990570487,367.5000687030001,26.78038173799996,title,"{'max_df': 0.9872780003146346, 'min_df': 0.010151370413221908, 'ngram_range': (1, 1)}","{'doc_topic_prior': 0.001465829069161418, 'n_components': 40, 'topic_word_prior': 7.799735818553592}",BinaryRelevance,21
