validation_hamming_loss,training_hamming_loss,fit_time,test_time,params_data,params_vectorizer,params_classifier,iteration
0.022525549069415528,0.004679116539803853,101.04717721939087,0.8147083759307862,both,{'vectorizer': 'use'},"{'C': 0.7159827066139449, 'multi': 'ClassifierChain', 'classifier': 'svm'}",29
0.07715713311223142,0.07532313041532063,1.4197488307952881,0.33325986862182616,both,"{'max_df': 0.987882301908719, 'min_df': 0.04790260939619542, 'ngram_range': (1, 1), 'vectorizer': 'tfidf'}","{'alpha': 0.07221802109027575, 'multi': 'ClassifierChain', 'classifier': 'naive_bayes'}",30
0.018272728517148805,0.005483628154536414,103.84047555923462,0.8170992851257324,both,{'vectorizer': 'use'},"{'C': 0.07273407823939138, 'multi': 'ClassifierChain', 'classifier': 'svm'}",31
0.015223593999827372,0.009002469944847222,47.87778434753418,0.8601582050323486,both,{'vectorizer': 'use'},"{'C': 0.010026397181991203, 'multi': 'ClassifierChain', 'classifier': 'svm'}",32
0.01850518293782086,0.012568691336358118,54.72100443840027,0.9014672756195068,body,{'vectorizer': 'use'},"{'C': 0.010247666818929368, 'multi': 'ClassifierChain', 'classifier': 'svm'}",33
0.08659093698340473,0.08032909413433414,5.625840330123902,0.9527372360229492,both,"{'max_df': 0.9890018027097558, 'min_df': 0.010504420918690582, 'ngram_range': (1, 2), 'vectorizer': 'tfidf'}","{'alpha': 1.2940262119860522, 'multi': 'ClassifierChain', 'classifier': 'naive_bayes'}",34
0.029658018907862266,0.010679704705530512,137.9944962501526,0.8473237514495849,body,{'vectorizer': 'use'},"{'C': 1.879536279276095, 'multi': 'ClassifierChain', 'classifier': 'svm'}",35
0.01988516289528642,0.007963665764646213,118.63157930374146,0.9511630058288574,title,{'vectorizer': 'use'},"{'C': 0.06841199985418737, 'multi': 'ClassifierChain', 'classifier': 'svm'}",36
0.024492172855845654,0.02441509368149385,24.91154899597168,0.4145030975341797,both,"{'max_df': 0.9797260516417385, 'min_df': 0.04870529785627985, 'ngram_range': (1, 2), 'vectorizer': 'tfidf'}","{'C': 0.5018880867643442, 'multi': 'ClassifierChain', 'classifier': 'svm'}",37
0.030408973865360366,0.011256413136074759,139.67731285095215,0.8833491325378418,body,{'vectorizer': 'use'},"{'C': 2.769611885652525, 'multi': 'ClassifierChain', 'classifier': 'svm'}",39
